id,errors-question1,errors-question2,errors-question3,errors-question4,Errors-question5
20170073034,3,0,0,0,
11412497,3,0,3,3,3
20170193355,4,0,0,3,5
20170018097,2,1,1,2,
20170017787,3,1,3,1,4
20180161856,,0,0,1,2
20170200235,3,0,3,5,
20170058655,2,1,0,0,0
20170102270,,0,0,5,
20170110227,2,1,1,1,2
20170018936,4,0,1,0,2
20160841702,5,0,2,2,2
20170027630,6,1,2,0,2
20170141214,1,0,0,0,2
20170019512,5,1,1,5,2
20170024479,4,1,1,4,5
20170112348,5,2,1,4,3
20190109324,4,0,0,1,1
20170101451,2,0,0,1,1
20170203827,5,1,0,1,3
20170024290,5,0,0,0,3
20170022077,4,0,3,1,2
20170061679,3,2,3,5,
2016090227,2,0,3,0,4
20170157420,3,0,0,7,3
20170016539,5,0,1,4,3
20170015291,5,0,0,1,0
20170027158,3,1,0,,
20170110183,3,0,0,0,0
2016093381,,2,2,3,4
20170008410,1,0,1,2,2
20170059376,5,0,0,0,2
20170141994,4,1,0,2,1
20170071559,5,0,1,2,4
20160121307,5,1,0,4,4
20170164380,2,1,3,3,5
